Sira_ID,API_ID,Urun_Ismi,Urun_Barkodu,Muadil_Barkodlari,Gorsel_Path
0,24,ACNELYSE 20 GR KREM,8699514355908,[],"[""images/24/1.png"", ""images/24/2.png""]"
1,35,ACYL 10 GR KREM,8680381900193,"[""8699516355616"", ""8699511350012"", ""8699792351135"", ""8699522352692"", ""8699516355616"", ""8699511350012"", ""8699792351135"", ""8699522352692""]","[""images/35/1.jpg""]"
2,37,ADALAT CRONO 30 MG 20 TB,8699546031870,[],"[""images/37/1.png""]"
3,68,ADVANTAN 15 GR YAGLI POMAD,8699514380092,"[""8699514380108"", ""8699772380018"", ""8699514380108"", ""8699772380018""]","[""images/68/1.jpg"", ""images/68/2.png"", ""images/68/3.png""]"
4,69,AFEBRYL 16 EFF TB,8699671020015,[],"[""images/69/1.png"", ""images/69/2.png"", ""images/69/3.png""]"
5,70,A-FERIN FORT 30 TB,8699570090058,[],"[""images/70/1.png"", ""images/70/2.png""]"
6,72,A-FERIN PED SURUP 100 ML,8699570570062,"[""8681911570046"", ""8681911570046""]","[""images/72/1.png"", ""images/72/2.png""]"
7,78,AKINETON 2 MG 100 TB,8699708011559,[],"[""images/78/1.png"", ""images/78/2.jpg"", ""images/78/3.png""]"
8,79,AKINETON 1 ML 5 AMP,8699708751530,[],"[""images/79/1.png"", ""images/79/2.png"", ""images/79/3.jpg""]"
9,80,AKLOVIR 200 MG 25 TB,8699516015602,"[""8699792011145"", ""8699792011145""]","[""images/80/1.png""]"
10,81,AKLOVIR 800 MG 20 TB,8699516015633,[],"[""images/81/1.png""]"
11,82,AKLOVIR 10 GR KREM,8699516355616,"[""8680381900193"", ""8699511350012"", ""8699792351135"", ""8699522352692"", ""8680381900193"", ""8699511350012"", ""8699792351135"", ""8699522352692""]","[""images/82/1.png""]"
12,83,AKLOVIR 100 ML SUSP,8699516705626,[],"[""images/83/1.png""]"
13,105,ALDACTAZIDE 25 MG 30 TB,8699543010014,"[""8680199094855""]","[""images/105/1.jpg"", ""images/105/2.png"", ""images/105/3.png""]"
14,106,ALDACTAZIDE 50 MG 30 TB,8699543010168,"[""8680199094879""]","[""images/106/1.jpg"", ""images/106/2.png"", ""images/106/3.png""]"
15,107,ALDACTONE 100 MG 16 TB,8699543010038,"[""8680199099515""]","[""images/107/1.png"", ""images/107/2.jpg""]"
16,108,ALDACTONE-A 25 MG 20 TB,8699543010021,"[""8680199093902""]","[""images/108/1.png"", ""images/108/2.jpg""]"
17,111,ALFAMET 250 MG 30 TB,8699508090310,[],"[""images/111/1.png"", ""images/111/2.png""]"
18,135,ALGESAL 40 GR POMAD,8699559380019,[],"[""images/135/1.png"", ""images/135/2.jpg""]"
19,136,ALGESAL SURACTIVE 40 GR POMAD,8699559380026,[],"[""images/136/1.jpg"", ""images/136/2.png""]"
20,144,ALKA-SELTZER 10 EFF TB,8699546070879,[],"[""images/144/1.png""]"
21,145,ALKERAN 2 MG 25 TB,8699874080021,[],"[""images/145/1.jpg"", ""images/145/2.png"", ""images/145/3.jpg""]"
22,149,ALLERGODIL 10 ML NAZAL SPREY,8698856540249,"[""8680150540032"", ""8699293545965"", ""8699591540150"", ""8680150540032"", ""8699293545965"", ""8699591540150""]","[""images/149/1.png"", ""images/149/2.jpg"", ""images/149/3.png""]"
23,150,ALLERSET 20 ML DAMLA,8699527593748,"[""8699624590015"", ""8699624590015""]","[""images/150/1.png"", ""images/150/2.jpg"", ""images/150/3.png"", ""images/150/4.jpg""]"
24,151,ALLERSET 200 ML SRP,8699527573788,"[""8699624570048"", ""8699772570426"", ""8699559570090"", ""8699525572400"", ""8699525577702"", ""8699624570048"", ""8699772570426"", ""8699559570090"", ""8699525572400"", ""8699525577702""]","[""images/151/1.jpg"", ""images/151/2.png"", ""images/151/3.png"", ""images/151/4.jpg""]"
25,152,ALLERSET 10 MG 10 TB,8699527093569,"[""8699772090467"", ""8699527093705"", ""8699525092366"", ""8699525092373"", ""8699624090041"", ""8699772090467"", ""8699527093705"", ""8699525092366"", ""8699525092373"", ""8699624090041"", ""8680199027235""]","[""images/152/1.png"", ""images/152/2.png"", ""images/152/3.png"", ""images/152/4.jpg""]"
26,166,AMARYL 1 MG 30 TB,8699809010208,"[""8699543010304"", ""8699543010304""]","[""images/166/1.png"", ""images/166/2.png""]"
27,167,AMARYL 2 MG 30 TB,8699809010215,"[""8699543010328"", ""8699543010328""]","[""images/167/1.png""]"
28,168,AMARYL 3 MG 30 TB,8699809010222,"[""8699543010342"", ""8699543010342""]","[""images/168/1.png""]"
29,171,AMETIK  DAMLA,8699512590011,[],"[""images/171/1.jpg""]"
30,173,AMIKOZIT 100 MG 1 FLK,8681801771003,"[""8699788750089"", ""8699788750089""]","[""images/173/1.jpg"", ""images/173/2.png"", ""images/173/3.png""]"
31,174,AMIKOZIT 500 MG 1 FLK,8681801771010,"[""8699788750140"", ""8699788750140""]","[""images/174/1.jpg"", ""images/174/2.png"", ""images/174/3.jpg""]"
32,187,AMLODIS 10 MG 20 TB,8699502012875,"[""8699536010236"", ""8699536010649"", ""8699525016003"", ""8699525014108"", ""8699578012830"", ""8699532015334"", ""8699638014316"", ""8699543010618"", ""8699511010169"", ""8699532014085"", ""8699536010236"", ""8699536010649"", ""8699525016003"", ""8699525014108"", ""8699578012830"", ""8699532015334"", ""8699638014316"", ""8699543010618"", ""8699511010169"", ""8699532014085""]","[""images/187/1.png"", ""images/187/2.jpg""]"
33,188,AMLODIS 5 MG 20 TB,8699502012820,"[""8698778010622"", ""8699536010229"", ""8699525015990"", ""8699525014092"", ""8699532015327"", ""8699638014293"", ""8699511010114"", ""8699532014078"", ""8699578012823"", ""8699578012847"", ""8698778010622"", ""8699536010229"", ""8699525015990"", ""8699525014092"", ""8699532015327"", ""8699638014293"", ""8699511010114"", ""8699532014078"", ""8699578012823"", ""8699578012847""]","[""images/188/1.png"", ""images/188/2.jpg""]"
34,192,AMOKLAVIN-BID 1000 MG 10 TB,8699525092472,"[""8699525093189"", ""8699522095650"", ""8699508090556"", ""8699717090149"", ""8699522095711"", ""8699508090488"", ""8699717090064"", ""8699569090328"", ""8699569090694"", ""8699525093189"", ""8699522095650"", ""8699508090556"", ""8699717090149"", ""8699522095711"", ""8699508090488"", ""8699717090064"", ""8699569090328"", ""8699569090694""]","[""images/192/1.png"", ""images/192/2.png"", ""images/192/3.png""]"
35,193,AMOKLAVIN-BID 200 MG 70ML SUSP,8699525282484,"[""8699525283207"", ""8699508280148"", ""8699508280155"", ""8699717280120"", ""8699522285754"", ""8699569280231"", ""8699638284375"", ""8699717280076"", ""8699569280385"", ""8699591280032"", ""8699591280063"", ""8699525283207"", ""8699508280148"", ""8699508280155"", ""8699717280120"", ""8699522285754"", ""8699569280231"", ""8699638284375"", ""8699717280076"", ""8699569280385"", ""8699591280032"", ""8699591280063""]","[""images/193/1.png"", ""images/193/2.png"", ""images/193/3.jpg""]"
36,195,AMOKLAVIN-BID 400 MG 70ML SUSP,8699525282507,"[""8699508280186"", ""8699525286451"", ""8699525283214"", ""8699508280131"", ""8699508280162"", ""8699717280137"", ""8699522285792"", ""8699569280224"", ""8699638284382"", ""8699717280090"", ""8699569280392"", ""8699569280422"", ""8699591280070"", ""8699591280087"", ""8699522285808"", ""8699508280186"", ""8699525286451"", ""8699525283214"", ""8699508280131"", ""8699508280162"", ""8699717280137"", ""8699522285792"", ""8699569280224"", ""8699638284382"", ""8699717280090"", ""8699569280392"", ""8699569280422"", ""8699591280070"", ""8699591280087"", ""8699522285808""]","[""images/195/1.png""]"
37,225,ANAFRANIL 10 MG 30 DRJ,8699529120010,[],"[""images/225/1.png"", ""images/225/2.png""]"
38,226,ANAFRANIL 25 MG 30 DRJ,8699529120027,[],"[""images/226/1.png"", ""images/226/2.jpg""]"
39,227,ANAFRANIL SR 75 MG 20 TB,8699529030036,[],"[""images/227/1.png"", ""images/227/2.jpg""]"
40,229,ANAPOLON 50 MG 20 TB,8699514017509,[],"[""images/229/1.png"", ""images/229/2.png""]"
41,231,ANDAZOL 200 MG 40 TB,8699578090036,"[""8699578090043"", ""8680199024463""]","[""images/231/1.png"", ""images/231/2.png"", ""images/231/3.jpg"", ""images/231/4.jpg""]"
42,233,ANDOLOR 2 ML 10 AMP,8699508750016,"[""8680381900247"", ""8683060750102"", ""8680381900247"", ""8683060750102""]","[""images/233/1.png""]"
43,234,ANDOLOR 500 MG 20 TB,8699508010028,"[""8699809015012"", ""8699809015012""]","[""images/234/1.png"", ""images/234/2.png""]"
44,235,ANDROCUR 100 MG 30 TB,8699546013838,[],"[""images/235/1.png"", ""images/235/2.jpg""]"
45,236,ANDROCUR 50 MG 50 TB,8699546011667,[],"[""images/236/1.png"", ""images/236/2.jpg""]"
46,238,ANESTOL 30 GR POMAD,8699516379018,"[""8698747380015"", ""8699622380106"", ""8698747380015"", ""8699622380106""]","[""images/238/1.png""]"
47,241,ANTABUS 500 MG 25 TB,8699540010208,[],"[""images/241/1.png"", ""images/241/2.png""]"
48,242,ANTEPSIN 250 ML SUSP,8699569700081,[],"[""images/242/1.png"", ""images/242/2.png"", ""images/242/3.png""]"
49,243,ANTEPSIN 1 GR 60 TB,8699569010012,[],"[""images/243/1.png"", ""images/243/2.png"", ""images/243/3.png""]"
50,258,APER 150 ML SRP,8699651570097,"[""8699540701205"", ""8699580570014"", ""8680760700024"", ""8681911570039"", ""8680150570138"", ""8699612570050"", ""8699717700062"", ""8699522705009"", ""8699570570246"", ""8699540701205"", ""8699580570014"", ""8680760700024"", ""8681911570039"", ""8680150570138"", ""8699612570050"", ""8699717700062"", ""8699525707703"", ""8699522705009""]","[""images/258/1.png""]"
