Sira_ID,API_ID,Urun_Ismi,Urun_Barkodu,Muadil_Barkodlari
0,24,ACNELYSE 20 GR KREM,8699514355908,[]
1,35,ACYL 10 GR KREM,8680381900193,"[""8699516355616"", ""8699511350012"", ""8699792351135"", ""8699522352692"", ""8699516355616"", ""8699511350012"", ""8699792351135"", ""8699522352692""]"
2,37,ADALAT CRONO 30 MG 20 TB,8699546031870,[]
3,68,ADVANTAN 15 GR YAGLI POMAD,8699514380092,"[""8699514380108"", ""8699772380018"", ""8699514380108"", ""8699772380018""]"
4,69,AFEBRYL 16 EFF TB,8699671020015,[]
5,70,A-FERIN FORT 30 TB,8699570090058,[]
6,72,A-FERIN PED SURUP 100 ML,8699570570062,"[""8681911570046"", ""8681911570046""]"
7,78,AKINETON 2 MG 100 TB,8699708011559,[]
8,79,AKINETON 1 ML 5 AMP,8699708751530,[]
9,80,AKLOVIR 200 MG 25 TB,8699516015602,"[""8699792011145"", ""8699792011145""]"
10,81,AKLOVIR 800 MG 20 TB,8699516015633,[]
11,82,AKLOVIR 10 GR KREM,8699516355616,"[""8680381900193"", ""8699511350012"", ""8699792351135"", ""8699522352692"", ""8680381900193"", ""8699511350012"", ""8699792351135"", ""8699522352692""]"
12,83,AKLOVIR 100 ML SUSP,8699516705626,[]
13,105,ALDACTAZIDE 25 MG 30 TB,8699543010014,"[""8680199094855""]"
14,106,ALDACTAZIDE 50 MG 30 TB,8699543010168,"[""8680199094879""]"
15,107,ALDACTONE 100 MG 16 TB,8699543010038,"[""8680199099515""]"
16,108,ALDACTONE-A 25 MG 20 TB,8699543010021,"[""8680199093902""]"
17,111,ALFAMET 250 MG 30 TB,8699508090310,[]
18,135,ALGESAL 40 GR POMAD,8699559380019,[]
19,136,ALGESAL SURACTIVE 40 GR POMAD,8699559380026,[]
20,144,ALKA-SELTZER 10 EFF TB,8699546070879,[]
21,145,ALKERAN 2 MG 25 TB,8699874080021,[]
22,149,ALLERGODIL 10 ML NAZAL SPREY,8698856540249,"[""8680150540032"", ""8699293545965"", ""8699591540150"", ""8680150540032"", ""8699293545965"", ""8699591540150""]"
23,150,ALLERSET 20 ML DAMLA,8699527593748,"[""8699624590015"", ""8699624590015""]"
24,151,ALLERSET 200 ML SRP,8699527573788,"[""8699624570048"", ""8699772570426"", ""8699559570090"", ""8699525572400"", ""8699525577702"", ""8699624570048"", ""8699772570426"", ""8699559570090"", ""8699525572400"", ""8699525577702""]"
25,152,ALLERSET 10 MG 10 TB,8699527093569,"[""8699772090467"", ""8699527093705"", ""8699525092366"", ""8699525092373"", ""8699624090041"", ""8699772090467"", ""8699527093705"", ""8699525092366"", ""8699525092373"", ""8699624090041"", ""8680199027235""]"
